"","x"
"1",1242.73067027305
"2",1348.95574730762
"3",1616.84659046527
"4",1494.13838614785
"5",1259.40679881336
"6",1273.29187930483
"7",1138.42314793237
"8",1254.46791062961
"9",1244.40995396376
"10",1190.77423207452
"11",1325.24214181449
"12",1348.40147226959
"13",1275.47925172287
"14",1283.37113151043
"15",1152.46994680354
"16",1124.47475479733
"17",1326.06427792136
"18",1227.04742117872
"19",1092.6613051286
"20",1170.34452154563
"21",1257.34988028605
"22",1322.25255657434
"23",1214.85474955848
"24",1233.82454706573
"25",1238.64943669494
"26",1224.41983961051
"27",1021.00226657682
"28",1077.80253452005
"29",1069.34358039295
"30",1057.93689572166
"31",1002.2517414367
"32",920.186788603108
"33",912.857912112956
"34",1108.39130362136
"35",1178.12778055536
"36",1061.8825877931
"37",1097.17033371301
"38",1116.81048595758
"39",1284.04637207499
"40",1276.44350705742
"41",1220.49693110863
"42",1181.29034036851
"43",1178.19840029806
"44",1249.59184265461
"45",1177.18347386787
"46",1135.49797239048
"47",1138.54014583905
"48",880.839251361068
"49",854.196483282338
"50",851.147968081519
"51",863.025407460248
"52",927.003554011489
"53",960.039731113776
"54",968.152938124297
"55",874.719427365037
"56",1008.88363026783
"57",965.497345541743
"58",809.438395024432
"59",847.050810559637
"60",863.266601905411
"61",949.092888789402
"62",797.15470284706
"63",762.95045673547
"64",792.756823265267
"65",854.111222496421
"66",887.162257027131
"67",925.511950665264
"68",818.839465976958
"69",782.096298214121
"70",880.204436682212
"71",1039.54797563616
"72",1015.68604225641
"73",917.612669064699
"74",825.761448094379
"75",865.863057565505
"76",741.09114167965
"77",802.227784071726
"78",780.786264898656
"79",747.604712480163
"80",760.761523442914
"81",741.984135373455
"82",739.71389872693
"83",735.102719360141
"84",785.357263443005
"85",746.360892525236
"86",765.807281384613
"87",788.900891174736
"88",755.812860210279
"89",719.32094957682
"90",730.433356801913
"91",742.328534993192
"92",738.521797562039
"93",758.882039557106
"94",772.265208634602
"95",757.349459469951
"96",711.622300127878
"97",727.363870161623
"98",1022.63917474445
"99",980.315199833141
"100",945.930528553236
"101",1005.47545151685
"102",924.212657697896
"103",936.736710369616
"104",785.738933871985
"105",1044.69023644876
"106",1096.43984319802
"107",1142.90243281765
"108",1135.79082883201
"109",1031.90097682734
"110",830.69576357769
"111",690.518397599885
"112",737.29014331464
"113",963.946441738594
"114",1033.9216560636
"115",1052.12317459346
"116",1061.98884980181
"117",976.840927059631
"118",879.922338968402
"119",943.016049719656
"120",991.711865670171
"121",1101.33298952973
"122",1000.638574764
"123",890.957474412115
"124",1287.15660456519
"125",1261.64015389875
"126",1066.87701838535
"127",980.379183603548
"128",1372.16795374137
"129",1314.72484161571
"130",1120.60140814125
"131",962.581425854884
"132",837.679947385773
"133",794.10326636288
"134",795.061794407597
"135",806.993274696498
"136",1030.32131355017
"137",830.613068225843
"138",817.053410966514
"139",741.499857226414
"140",779.932205074901
"141",823.566564901432
"142",1200.86730111166
"143",1259.83244590133
"144",1297.71423058195
"145",927.245255368579
"146",835.551389009787
"147",836.305664237384
"148",1035.331155543
"149",1046.35736428642
"150",830.654616155882
"151",1340.15788411878
"152",1383.27646660386
"153",1095.94942445031
"154",964.174044060525
"155",852.90901977826
"156",973.460714012497
"157",1264.53287712779
"158",1185.60312820824
"159",1147.03077592026
"160",1470.57046593019
"161",1053.26115982838
"162",876.273898231554
"163",1128.26479832564
"164",1354.59373040267
"165",1300.76770224015
"166",1272.13391256248
"167",1067.06752555141
"168",1300.97059462749
"169",1014.50228816708
"170",818.860858662086
"171",884.653788399086
"172",820.637262558637
"173",727.227177045802
"174",706.20631236375
"175",732.998711767986
"176",859.982478359065
"177",821.177625759762
"178",1080.53092664367
"179",1421.67189254022
"180",1111.67958415307
"181",982.709180525188
"182",986.920652891888
"183",1576.42284948213
"184",1532.42400996455
"185",1774.46696113476
"186",1665.5122086328
"187",1617.09045261519
"188",1517.34587771036
"189",985.79398352111
"190",770.146876218444
"191",752.897349500509
"192",1209.89819402656
"193",1613.36227206383
"194",1241.63382179514
"195",1248.42333355501
"196",1189.14058248748
"197",979.716349772726
"198",988.594934768327
"199",1033.94644857834
"200",1034.15910662455
"201",1295.03166590667
"202",949.153375679148
"203",783.898241505666
"204",854.284422629556
"205",985.958627232016
"206",1206.15228771141
"207",1067.39172381812
"208",1444.22888358623
"209",1626.54585187564
"210",1337.73931607589
"211",1030.44229573554
"212",1245.76801110207
"213",1146.10738535855
"214",1220.950673875
"215",1058.9066806781
"216",941.888140557464
"217",1287.86979978368
"218",856.261830798264
"219",1018.93164564681
"220",1240.53361381778
"221",1136.02940423496
"222",1264.21458506923
"223",1363.51950574868
"224",1393.47512244748
"225",966.652595208631
"226",1249.92919165561
"227",1181.25210553392
"228",1164.30270821644
"229",965.690158060073
"230",866.228607920337
"231",787.188853213081
"232",786.737345853075
"233",1021.35149677624
"234",1207.86090407584
"235",933.622305846952
"236",743.028507680046
"237",825.832377032844
"238",922.162750171705
"239",833.254454640468
"240",1059.66684556615
"241",1315.65166138296
"242",1182.80944691284
"243",1052.21374549721
"244",1151.57139525573
"245",1232.75853741184
"246",1219.3289766093
"247",1176.73191778562
"248",1101.67581890263
"249",956.99698377367
"250",851.414719343854
"251",726.722072732957
"252",741.5517956301
"253",861.052974021602
"254",910.818898919437
"255",1091.60718328919
"256",919.449772487415
"257",828.76225701894
"258",745.465355793808
"259",794.456590212613
"260",863.385230897881
"261",903.632824517765
"262",909.717806554398
"263",853.804576845659
"264",735.086283629808
"265",760.584878768321
"266",781.224759827693
"267",817.871571552883
"268",877.017390176122
"269",877.579924458457
"270",832.123280620655
"271",746.061645038511
"272",790.011855399292
"273",840.667941358155
"274",783.172913625266
"275",807.683371076376
"276",785.088553529494
"277",754.252166480955
"278",720.262214761672
"279",727.061413770278
"280",771.11701075146
"281",788.687173193732
"282",751.890277119402
"283",762.174000643386
"284",746.001008569505
"285",724.645127161698
"286",733.308298787784
"287",769.455774931255
"288",761.037232961074
"289",793.412669541021
"290",873.192071839169
